age,age_diff,height,height_diff,reach,reach_diff,stance,stance_diff,weight,weight_diff,won,won_diff,lost,lost_diff,drawn,drawn_diff,kos,kos_diff,result,decision,judge1,judge1_diff,judge2,judge2_diff,judge3,judge3_diff
35.0,8.0,179.0,4.0,178.0,-1.0,orthodox,orthodox,160.0,0.0,37,-12,0,-1,0,-1,33,-1.0,draw,SD,110.0,-8.0,115.0,2.0,114.0,0.0
26.0,-5.0,175.0,-10.0,179.0,-6.0,orthodox,orthodox,164.0,0.0,48,-2,1,-1,1,0,34,2.0,win,UD,120.0,12.0,120.0,12.0,120.0,12.0
25.0,-4.0,175.0,1.0,179.0,-1.0,orthodox,orthodox,155.0,0.0,46,15,1,-2,1,1,32,13.0,win,KO,47.0,-1.0,49.0,3.0,48.0,1.0
23.0,-8.0,175.0,0.0,179.0,-9.0,orthodox,orthodox,155.0,0.0,43,24,1,0,1,-1,31,19.0,win,SD,115.0,2.0,117.0,6.0,113.0,-2.0
22.0,-6.0,175.0,-2.0,179.0,4.0,orthodox,orthodox,154.0,1.0,40,10,0,-4,1,1,29,11.0,win,TKO,,,,,,
21.0,-19.0,175.0,1.0,179.0,-1.0,orthodox,orthodox,154.0,0.0,39,-7,0,-7,1,0,29,-10.0,win,UD,119.0,10.0,119.0,10.0,118.0,8.0
21.0,-11.0,175.0,-5.0,179.0,-9.0,orthodox,orthodox,154.0,0.0,38,5,0,-4,1,0,28,0.0,win,TKO,40.0,5.0,40.0,5.0,40.0,5.0
19.0,-13.0,175.0,8.0,179.0,6.0,orthodox,orthodox,150.0,1.0,31,0,0,-1,1,0,23,0.0,win,TKO,78.0,5.0,78.0,5.0,78.0,5.0
18.0,-8.0,175.0,-5.0,179.0,-9.0,orthodox,orthodox,147.0,0.0,25,2,0,-2,1,1,18,-3.0,win,TKO,,,,,,
18.0,-10.0,175.0,2.0,179.0,-4.0,orthodox,orthodox,147.0,0.0,22,6,0,-1,1,1,15,0.0,win,TKO,,,,,,
29.0,-5.0,173.0,-6.0,178.0,-3.0,orthodox,orthodox,140.0,1.0,31,9,0,0,0,0,22,11.0,win,KO,,,,,,
29.0,-4.0,173.0,-6.0,178.0,-2.0,orthodox,orthodox,139.0,-4.0,29,0,0,-6,0,0,20,-3.0,win,TKO,70.0,10.0,70.0,7.0,70.0,7.0
28.0,-5.0,173.0,4.0,178.0,-5.0,orthodox,orthodox,140.0,0.0,26,-3,0,-1,0,0,18,-2.0,win,TKO,89.0,9.0,90.0,11.0,90.0,11.0
27.0,-6.0,173.0,0.0,178.0,5.0,orthodox,orthodox,135.0,1.0,24,-5,0,-6,0,-1,17,0.0,win,UD,119.0,10.0,120.0,12.0,119.0,10.0
23.0,-7.0,173.0,8.0,178.0,10.0,orthodox,orthodox,139.0,0.0,13,-7,0,-11,0,0,10,-1.0,win,TKO,10.0,1.0,10.0,1.0,10.0,1.0
22.0,-7.0,173.0,3.0,178.0,9.0,orthodox,orthodox,137.0,0.0,8,-1,0,-14,0,-1,5,-1.0,win,TKO,,,,,,
33.0,5.0,179.0,1.0,178.0,-10.0,orthodox,orthodox,159.0,-1.0,32,13,0,-1,0,0,29,23.0,win,TKO,50.0,7.0,50.0,7.0,49.0,5.0
31.0,0.0,179.0,1.0,178.0,-2.0,orthodox,orthodox,159.0,0.0,26,-3,0,-4,0,0,23,3.0,win,KO,20.0,2.0,20.0,2.0,20.0,2.0
30.0,3.0,179.0,-3.0,178.0,-4.0,orthodox,orthodox,160.0,1.0,24,3,0,-5,0,0,21,8.0,win,TKO,60.0,6.0,59.0,4.0,60.0,6.0
30.0,3.0,179.0,-1.0,178.0,0.0,orthodox,orthodox,159.0,0.0,23,-5,0,-1,0,0,20,-1.0,win,TKO,40.0,6.0,40.0,6.0,40.0,6.0
29.0,-3.0,179.0,6.0,178.0,-2.0,orthodox,orthodox,160.0,2.0,20,-7,0,-7,0,-1,17,0.0,win,TKO,87.0,3.0,86.0,1.0,86.0,1.0
29.0,3.0,171.0,11.0,179.0,18.0,orthodox,orthodox,115.0,0.0,26,8,2,-1,1,0,12,-5.0,loss,TKO,71.0,-8.0,72.0,-7.0,72.0,-6.0
25.0,3.0,160.0,-3.0,161.0,103.0,southpaw,southpaw,115.0,0.0,12,3,3,-5,1,-2,11,8.0,win,TKO,,,,,,
26.0,-4.0,198.0,-3.0,208.0,1.0,orthodox,orthodox,243.0,-12.0,16,-1,0,0,0,0,16,1.0,win,TKO,,,,,,
